번호,label,text,category
42,ham,출장비 정산 관련 서류 제출 부탁드립니다.,
43,spam,게임 아이템 무료 충전 이벤트 중!,광고성스팸
44,ham,졸업논문 제출 일정 안내드립니다.,
45,spam,대출 한도 최대 상향! 특별 승인 기회!,광고성스팸
46,ham,건강검진 일정이 확정되었습니다.,
47,spam,온라인 쇼핑몰 특별쿠폰 발급 완료!,광고성스팸
48,ham,자격증 시험 접수 마감일 안내드립니다.,
49,spam,100만원 상당 경품 추첨 이벤트 참여하기!,광고성스팸
50,ham,금주 회의는 수요일로 조정되었습니다.,
51,spam,귀하의 최근 거래에 대한 청구서가 첨부되었습니다. 확인 후 결제 바랍니다.,허위청구서스팸
52,ham,회의 일정이 내일 오전 10시로 변경되었습니다.,
53,spam,최근 구매 내역에 대한 청구서가 발행되었습니다. 즉시 결제해주세요.,허위청구서스팸
54,ham,다음 회의는 오후 3시에 시작됩니다. 시간을 확인해 주세요.,
55,spam,귀하의 계정에서 결제되지 않은 항목이 있습니다. 지금 바로 결제하십시오.,허위청구서스팸
56,ham,내일 오전 9시에 중요한 회의가 있습니다. 참석 부탁드립니다.,
57,spam,지불 기한이 다가오고 있습니다. 첨부된 청구서를 확인 후 결제하십시오.,허위청구서스팸
58,ham,회의가 30분 연기되었습니다. 새 시간은 오후 1시입니다.,
59,spam,귀하의 서비스 요금이 미납되었습니다. 빠르게 결제해 주세요.,허위청구서스팸
60,ham,오늘 회의 일정에 변동이 생겼습니다. 오후 4시로 변경되었습니다.,
61,spam,최근 거래에 대한 미결제 청구서입니다. 확인 후 결제 부탁드립니다.,허위청구서스팸
62,ham,회사의 새로운 회의 일정에 따라 오늘 회의는 취소되었습니다.,
63,spam,결제되지 않은 청구서가 있습니다. 첨부된 내용을 확인 후 결제해 주세요.,허위청구서스팸
64,ham,이번 주 회의는 금요일 오후 1시로 조정되었습니다.,
65,spam,귀하의 계좌에 미지급된 요금이 있습니다. 결제를 진행해주세요.,허위청구서스팸
66,ham,다음 회의는 15분 후에 시작됩니다. 늦지 않도록 준비해 주세요.,
67,spam,청구서를 확인하고 빠르게 결제하십시오. 미납 시 서비스가 중지될 수 있습니다.,허위청구서스팸
68,ham,이번 주 금요일까지 보고서 제출 부탁드립니다.,
69,spam,긴급! 귀하의 계좌에 의심스러운 거래가 발생했습니다. 확인하려면 이 번호로 전화 주세요.,스미싱
70,ham,다음 주 월요일까지 보고서를 제출해 주시기 바랍니다.,
71,spam,당신의 계좌가 잠금 처리되었습니다. 즉시 확인하려면 전화하세요.,스미싱
72,ham,보고서 제출 기한은 이번 주 금요일까지입니다. 확인 후 제출해 주세요.,
73,spam,새로운 보상 혜택을 확인하려면 아래 전화번호로 연락 주세요.,스미싱
74,ham,오늘 중으로 보고서를 제출해 주시면 감사하겠습니다.,
75,spam,당신의 계좌가 정지되었습니다. 복구하려면 전화로 확인하세요.,스미싱
76,ham,보고서 제출 기한이 임박했습니다. 늦지 않게 제출 부탁드립니다.,
77,spam,계좌 인증을 위한 전화 확인이 필요합니다. 지금 전화 주세요.,스미싱
78,ham,연구 보고서를 이번 주 금요일까지 제출해 주세요.,
79,spam,긴급! 보상금을 수령하려면 이 번호로 전화 주세요.,스미싱
80,ham,보고서 제출 마감일이 다가오고 있습니다. 확인 후 제출 바랍니다.,
81,spam,귀하의 신용카드가 정지되었습니다. 즉시 전화로 확인해 주세요.,스미싱
82,ham,다음 주 월요일까지는 보고서를 제출해야 하니 준비해 주세요.,
83,spam,귀하의 계좌가 차단되었습니다. 복구하려면 전화로 확인해 주세요.,스미싱
84,ham,이번 주 내로 보고서를 제출해 주세요. 기한을 지켜주셔야 합니다.,
85,spam,정기 결제 확인을 위해 전화로 답변을 요청드립니다.,스미싱
86,ham,제출해야 할 보고서가 있습니다. 빠르게 작업을 완료해 주세요.,
87,spam,긴급: 계좌 이체 승인 요청. 확인 후 즉시 처리해 주세요.,스미싱
88,ham,오늘 점심에 같이 식사하실 분 있으신가요?,
89,spam,회사 자금을 긴급히 이체해야 합니다. 해당 금액을 송금 부탁드립니다.,BEC
90,ham,이번 주 점심은 회사 근처 레스토랑에서 함께 먹을 예정입니다. 함께 하실 분은 말씀해 주세요.,
91,spam,비즈니스 거래를 위한 중요한 결제 요청입니다. 확인 후 송금하십시오.,BEC
92,ham,오늘 점심 약속이 있으신가요? 함께 가실 분을 찾습니다.,
93,spam,이메일을 통해 승인된 송금 요청이 있습니다. 빠르게 처리 바랍니다.,BEC
94,ham,이번 주 금요일 점심시간에 동료들과 함께 외식할 예정입니다. 참여하실 분은 알려 주세요.,
95,spam,긴급하게 비즈니스 계좌로 자금을 이체해야 합니다.,BEC
96,ham,내일 점심에 회사 근처 맛집에 가려고 하는데 같이 가실 분 있나요?,
97,spam,회사 명의로 송금 요청이 왔습니다. 즉시 확인해 주세요.,BEC
98,ham,점심시간에 함께 식사할 분 찾고 있습니다. 관심 있으신 분은 말씀해 주세요.,
99,spam,계좌 이체가 필요합니다. 확인 후 송금 바랍니다.,BEC
100,ham,오늘 점심에 외식 예정인데 함께 가실 분을 찾고 있습니다.,
101,spam,긴급 송금 요청이 있습니다. 이체 진행 부탁드립니다.,BEC
102,ham,내일 점심에 새로운 레스토랑을 가려고 합니다. 함께 가실 분은 알려 주세요.,
103,spam,긴급하게 비즈니스 거래를 위해 송금해야 합니다.,BEC
104,ham,이번 주 점심은 회사 근처에서 간단히 해결하려고 합니다. 동참하실 분은 말씀해 주세요.,
105,spam,송금 요청이 승인되었습니다. 즉시 확인 후 송금해 주세요,BEC
106,ham,회의록을 작성해 주셔서 감사합니다. 확인 후 피드백 드리겠습니다.,
107,spam,동료가 중요한 정보를 보냈습니다. 즉시 파일을 열어보세요.,BEC
108,ham,이번 프로젝트의 진행 상황을 알려주세요. 진행 중인 부분에 대해 공유 부탁드립니다.,
109,spam,이메일을 통해 요청한 자료를 첨부했습니다. 빠른 확인 바랍니다.,BEC
110,ham,이번 주까지 작업 마무리 부탁드립니다. 기한을 지켜 주세요.,
111,spam,회사 시스템에 새로운 정책이 적용되었습니다. 첨부된 파일을 확인하세요.,BEC
112,ham,중요한 자료를 준비해 주셔서 감사합니다. 확인 후 진행하도록 하겠습니다.,
113,spam,고객사와의 계약서가 첨부되어 있습니다. 검토 후 서명해주세요.,BEC
114,ham,작업을 완료한 후 보고해 주세요. 필요한 부분이 있으면 알려 드리겠습니다.,
115,spam,회사 이메일 계정에 문제가 생겼습니다. 즉시 확인 후 조치를 취하세요.,BEC
116,ham,내일 회의 전에 자료를 준비해 주세요. 준비가 완료되면 알려 주세요.,
117,spam,당신의 직무 관련 중요 업데이트입니다. 첨부된 파일을 열어보세요.,BEC
118,ham,이번 주 업무에 대해 정리해 주시면 감사하겠습니다.,
119,spam,귀하의 부서에서 중요 문서가 수신되었습니다. 바로 열어보세요.,BEC
120,ham,작업 내용에 대해 확인이 필요합니다. 다시 한번 검토해 주세요.,
121,spam,동료가 보낸 이메일을 확인하려면 이 링크를 클릭하세요.,스피어피싱
122,ham,오늘 회의 내용에 대한 요약본을 보내드리겠습니다. 확인 부탁드립니다.,
123,spam,귀사의 급한 요청을 위해 이 문서를 열어보세요.,스피어피싱
124,ham,최근 진행한 작업에 대한 피드백을 부탁드립니다.,
125,spam,"안녕하세요, 사용자님. 회사 계정 확인을 위해 링크를 클릭하세요.",스피어피싱
126,ham,새로운 프로젝트에 대해 논의하고자 합니다. 시간을 내주세요.,
127,spam,귀하의 파일을 암호화했습니다. 복구하려면 여기를 클릭하여 지불하세요.,랜섬웨어메일
128,ham,문서 작업이 완료되었습니다. 확인 후 피드백 부탁드립니다.,
129,spam,당신의 시스템이 잠겼습니다. 복구하려면 비트코인으로 지불해야 합니다.,랜섬웨어메일
130,ham,파일을 업데이트했습니다. 최신 버전을 확인해 주세요.,
131,spam,파일을 복구하려면 지불을 완료해 주세요. 24시간 내에 처리하지 않으면 영구 삭제됩니다.,랜섬웨어메일
132,ham,업데이트된 자료를 전달드립니다. 확인해 주세요.,
133,spam,당신의 데이터가 잠겨 있습니다. 복구를 위해 지불해주세요.,랜섬웨어메일
134,ham,업무 관련 궁금한 점이 있으시면 언제든지 연락 주세요.,
135,spam,암호화된 파일을 복구하려면 링크를 통해 지불해야 합니다.,랜섬웨어메일
136,ham,팀 회의 결과를 공유드립니다. 확인 후 의견 부탁드립니다.,
137,spam,암호화된 파일을 복구하려면 링크를 통해 지불해야 합니다.,랜섬웨어메일
138,ham,이번 프로젝트의 진행 상황을 공유해 주세요.,
139,spam,파일 복구를 위해 즉시 지불을 완료해야 합니다.,랜섬웨어메일
140,ham,파일을 공유드립니다. 확인 후 수정해 주세요.,
141,spam,시스템이 잠겼습니다. 복구를 원하시면 즉시 결제하십시오.,랜섬웨어메일
142,ham,프로젝트 업데이트 사항을 메일로 보내드리겠습니다.,
143,spam,파일을 복원하려면 여기를 클릭하여 암호 해제를 요청하세요.,랜섬웨어메일
144,ham,오늘 하루 잘 보내세요! 좋은 하루 되세요.,
145,spam,귀하의 컴퓨터가 감염되었습니다. 파일 복구를 원하시면 금액을 지불하세요.,랜섬웨어메일
146,ham,다음 주에 예정된 행사에 대해 확인 부탁드립니다,
147,spam,긴급! 첨부파일을 다운로드하여 최신 보안 업데이트를 설치하세요.,악성코드유포형스팸
148,ham,새로운 업무 지침을 안내드립니다. 확인 후 따라 주세요.,
149,spam,첨부된 PDF 파일을 열어 보세요. 중요한 문서입니다.,악성코드유포형스팸
150,ham,팀 프로젝트 관련 미팅이 진행될 예정입니다. 시간을 비워 두세요,
151,spam,당신의 컴퓨터가 바이러스에 감염되었습니다. 다운로드하여 바로 치료하세요.,악성코드유포형스팸
152,ham,저희 사무실에서 새로운 규정을 시행합니다. 자세한 내용은 확인해 주세요.,
153,spam,첨부파일을 확인하여 최신 프로그램을 설치하세요. 무료입니다.,악성코드유포형스팸
154,ham,다음 주 프로젝트 회의에 대한 정보를 전달드립니다.,
155,spam,이 파일을 다운로드하여 새로운 버전의 프로그램을 설치해 보세요.,악성코드유포형스팸
156,ham,이번 달 목표는 다음 주에 마무리될 예정입니다.,
157,spam,보안 오류 발생! 첨부된 파일을 열어 빠르게 수정하세요.,악성코드유포형스팸
158,ham,우리 팀에 새로운 구성원이 추가되었습니다. 환영해 주세요!,
159,spam,새로운 파일을 다운로드하고 컴퓨터를 보호하세요.,악성코드유포형스팸
160,ham,다음 주 월요일에 새로운 프로젝트가 시작됩니다. 준비해 주세요.,
161,spam,이메일을 통해 최신 보안 패치를 다운로드하세요.,악성코드유포형스팸
162,ham,회의에서 논의된 내용을 정리해 메일로 보내드립니다.,
163,spam,첨부된 문서를 열고 시스템을 최적화해 보세요.,악성코드유포형스팸
164,ham,금일 업무 보고서를 팀 공유 드라이브에 업로드하였습니다.,
165,spam,컴퓨터를 보호하려면 여기에서 파일을 다운로드하세요.,악성코드유포형스팸
166,ham,출근 시간에 맞춰 회의실을 예약해 두었습니다.,
167,spam,계좌 비밀번호를 다시 설정하세요. 보안상의 이유로 로그인 정보가 변경되었습니다.,피싱스팸
168,ham,다음 주 월요일 오전에 일정 가능하신가요?,
169,spam,위험한 보안 위협! 계좌를 보호하려면 여기를 클릭하세요.,피싱스팸
170,ham,담당자 변경에 따라 업무 인수인계를 진행 중입니다.,
171,spam,계정이 정지되었습니다. 본인 인증을 위해 이 링크를 따라가세요.,피싱스팸
172,ham,담당자분이 자리를 비우셨습니다.,
173,spam,당신의 은행 계좌에서 의심스러운 거래가 감지되었습니다. 즉시 확인하려면 여기를 클릭하세요.,피싱스팸
174,ham,문서 수정사항은 빨간색 글씨로 표시해 두었습니다.,
175,spam,긴급! 로그인 시도가 여러 번 있었습니다. 비밀번호를 변경해야 합니다.,피싱스팸
176,ham,고객 응대 가이드라인을 업데이트하였습니다.,
177,spam,귀하의 우편함에 새 메시지가 도착했습니다. 메시지를 확인하려면 여기를 클릭하세요.,피싱스팸
178,ham,사무실 정기 소독 일정이 내일 오전입니다.,
179,spam,귀하의 결제 정보가 유출되었습니다. 안전한 계정 복구를 위해 즉시 클릭하세요.,피싱스팸
180,ham,월간 회의에서 사용할 자료를 미리 공유드립니다.,
181,spam,즉시 계좌 확인이 필요합니다! 귀하의 세금 환급을 받으려면 로그인하세요.,피싱스팸
182,ham,사내 공지사항을 참고하시어 업무에 반영해 주세요.,
183,spam,계정에서 비정상적인 활동이 발생했습니다. 여기서 확인 후 조치를 취하세요.,피싱스팸
184,ham,출장 일정이 확정되었습니다. 참고 바랍니다.,
185,spam,당신의 Amazon 계정에 문제가 발생했습니다. 즉시 확인하세요.,피싱스팸
186,ham,사내 헬스장 이용시간이 변경되었습니다. 확인 바랍니다.,
187,spam,한정 세일! 50% 할인된 가격으로 최신 스마트폰을 구매하세요!,광고성스팸
188,ham,내일 외부 미팅이 예정되어 있어 부재 예정입니다.,
189,spam,명품 가방 대박 세일! 80% 할인 혜택!,광고성스팸
190,ham,금일 회의는 화상 회의로 변경되었습니다.,
191,spam,10만원 캐시백! 온라인 쇼핑몰에서 구매하고 현금으로 돌려받자!,광고성스팸
192,ham,결재 서류 학인 부탁드립니다.,
193,spam,미니 드론 무료 증정! 구매하고 즉시 선물 받으세요!,광고성스팸
194,ham,수정사항 확인 완료했습니다. 공유 드라이브에 업로드 부탁드립니다.,
195,spam,3일 동안만! 전자제품 50% 할인 이벤트!,광고성스팸
196,ham,표 안에 변경된 수치를 굵은 글씨로 표시했습니다.,
197,spam,"월간 구독 서비스, 첫 달 무료!",광고성스팸
198,ham,누락된 항목은 회색 음영으로 표시해 두었습니다.,
199,spam,여행 패키지 할인 70%! 예약은 서둘러야 합니다!,광고성스팸
200,ham,문서 내 날짜 정보가 최신으로 반영되었는지 확인해 주세요.,
201,spam,엄마 나 폰이 망가져서 수리맡기고 컴퓨터 문자나라로 메시지 보내고 있어 엄마 지금 바뻐?,sns 스팸
202,spam,"[국외발신]
[코인원]
고객님계정이
해외IP에서
로그인되였습니다.해외IP차단해주세요.
www.coinonve.com",sns 스팸
203,spam,"엄마 입금받을수있는
은행계좌번호
하나랑 계좌등록
본인인증땜에
계좌 4자리
비밀번호까지
보내줘",sns 스팸
204,spam,"엄마 바빠?나지금
핸드폰 고장나서 매장에 수리맡기고
급한대로 예전에
내명의로 가입해놧던
문자나라로
문자하고 있어

피씨용이라 문자만
가능해 부탁이 있어서
문자했어 엄마
확인하는대로 답장줘",sns 스팸
205,spam,"엄마~ 바빠?
엄마 나 급한 일이 좀 생겨서…
지금 98만원만 입금해 줄 수 있어?+C6",sns 스팸
206,spam,"엄마 나 폰고장나서 수리 맡기고 문자나
가입한거로 문자하고 있어 피씨용이라
문자만가능해 문자줘

아냐 떨어뜨려서 ㅠㅠ 엄마 다름아니라 지금
상품권좀필요한데 엄마 대신먼저
구매해줄수있어? 나지금 밖에 나갈수없는
상황이라 그래 구글기프트권이라고 있는데
이마트나 홈플러스 편의점 가면 구매할수있는데
엄마 지금 다녀올수있어?",sns 스팸
207,spam,"엄마 나 핸드폰 고장나서
서비스 맡기고 문자나라
접해서 문자하는거야
문자보면 답줘!

부탁이 있어 그러는데
엄마 지금 잠간 편의점 갓다올수 잇어?

ㅋㅋ 엄마 돈 좋아해 ?",sns 스팸
208,spam,"[web 발신]
아빠 나지금폰
액정나가서
않되
01059680036 이번호로
톡추가 하고
톡줘 통화안되",sns 스팸
209,spam,"엄마 나 핸드폰 고장나서
수리맡기고 컴터로
새카톡만들엇어~ 010
???????? 이번호로
카톡추가하고 톡줘~",sns 스팸
210,spam,"엄마 바빠? 나 지금
핸드폰 고장나서
매장에 수리맡기고
급한대로 예전에
내명의로 가입해놨던
문자나라로
문자하고있어

피씨용이라 문자만
가능해 부탁이있어서
문자했어 엄마
확인하는대로 답장줘",sns 스팸
211,spam,"https://
play.google.com/
store/apps/
details?id=com.tea
mviewer.quicksu
port.market
엄마 이 링크
클릭해서 설치하고
열기하면 귀하의
아이디라고 9자리로
된 숫자가 보여 그
숫자 나한테 문자로 알려줘",sns 스팸
212,spam,"엄마

나 지금 휴대폰 액정깨져서
as맡기고 컴퓨터로 카톡접속햇어

바빠?

 보이스톡 해요
0:16

소리하나도 안드려
컴퓨터로해서 그런가봐

문자로해줘 엄마 !

선배일땜에 급해서 그래

어제 선배한테 받은돈 있는데
선배가 급하게 다시
보내달라고해서

내껄로 하려고 하니깐 인증서
오류떠서 안돼 은행에 문의
햇는데 월요일이체 가능하대

월요일오전에 다시 보낼게 먼저 선배쪽으로 이체좀 해줄수잇어?

원룸보증금이라 금액이 좀커서
그래

600만원이야",sns 스팸
213,spam,"엄마 나폰 고장나서
센터에 맡겼어
안심번호로
문자하는거야
통화안되니까
문자확인하면 답장해줘

그럼

폰떨어뜨려서
액정나갓어
센터에서 지금
온라인으로 신청하면
보험처리가능하대

지금 신청해야되는데
내 폰은 고장이라
본인인증이안돼 엄마",sns 스팸
214,spam,"입금받을수있는
은행계좌번호 하나랑
계좌등록 본인인증땜에
계좌 4자리 비번까지
불러줘

12만 3천정도
입금될거야

일단 온라인신청올릴게
혹시 더 필요한것잇으면
다시 문자할게

안심문자다보니까
자동으로 삭제돼
 
엄마폰
아이핀이아니다보니까

폰잠그지말고 내가
안심원격으로 하면돼

엄마 폰 잠그지말아줘

폰그냥 놔두고 엄마
볼일보면돼

엄마 ARS
인증전화갈거야
신용카드 앞두자리 비번
입력해주면돼

엄마 폰 잠그지말아줘

아이핀 대기해야되는데
폰잠겨서 안돼

폰 그냥 놔두고 일보면돼
잠그지말고",sns 스팸
215,spam,"아빠 나 폰 액정깨져서
수리맡기고 임시 이번호
사용중이야 확인하면
문자줘~

통화하다가 떨어뜨렸지
ㅠㅠ
폰은 수리땜에 늦으면
내일쯤 찾을수 있대 엄마
많이바빠?",sns 스팸
216,spam,"엄마 그리고 이거 5만원권 4장으로만
더 구매해줘

3만원권이랑 5만원권 2가지 필요해

그 이모님 한테 한번만 더 부탁해줘

구매 했어?

엄마 아직이야?

엄마 가입할수 있겠어?

아니면 네가 엄마 폰이랑 연결해서
해볼께

그러면 엄마 좀 잇다 톡해줘

엄마 집 가면 톡해줘",sns 스팸
217,spam,"장모님 저 급히
송금할데가 있는데
장모님 저대신 먼저
보내주시면
안되나해서요

60만원이에요

제가 내일 장모님께
보내드릴게요

장모님 여기세곳에 각
20만원씩
보내주시면되세요
번거롭게 해드려서
죄송해요",sns 스팸
218,spam,"누나 바뻐?

핸드폰 고장나서 카톡바꿨어
이걸추가해줘

누나 다름아니라 나부탁하나해도될까?

급히 송금해줘야될 금액있는데
공인인증서오류땜에
이체가안나서그러는데
누나먼저대신보내줄수있어?
이따가오후쯤 다시보내줄게

580만 원되는데 가능할까?

안될까?

핸펀 아직안바꿨어 폰수리맡기고 지금
피시톡으로하는거거든

여기로 보내면돼
보내고 톡줘~

오후쯤 계좌오류 풀리는대로 다시 보내줄게",sns 스팸
219,spam,"엄마 바빠?

나폰액정나가서 수리 맏겼어

폰수리맏기고 컴퓨터로 접속했어
ㅠㅠ

저녁쯤 대야폰 찾을수 있대

엄마

지금 인터넷 뱅킹가능해?

일땜에 돈보낼곳이 있는데
공인인증이 안되서 그래

폰찾는대로 바로 보내줄께

응 근데 은행 갈려면 시간오래 걸려 ?

500정도 되는데 가능하겟어?

그리고 이모 계좌번호 보내달라고해
저녁 쯤에 보내줄테니깐

???이 이모부가사무실  가는데
얼마나 걸린데 ?

그리고 받을계좌 번호 일단 지금 보내 달라고해 메모해놓게

아직이야 ?

엄마",sns 스팸
220,spam,"아빠 나 폰액정이 나가서
수리 맡겼어 이번호가
임시사용하는거라 문자만
가능해 부탁할거있으니
답장해줘.

제목: 제목없음

응 수리맡겼어~
핸드폰액정보험료
나오는데 회원가입하고
폰으로인증받아야되는데
내폰으로인증받을수없어서
아빠 이름으로
회원가입하고
인증받아줄수있어?

제목: 제목없음

아빠 일단 내가
링크보내줄게 링크
클릭하고 설치해줘
https://play.google.com
/store/apps/details
?id=com.teamviewer
,quicksupport.market&hl
=ko
설치끝나고 실행하면
내아이디라고
9자리숫자가잇어 그걸
문자로 보내줘",sns 스팸
221,spam,"수리점에맡기고 잠시
컴퓨터로 접속했어

뭐하나부탁해도되?

잔고여유되면 나
대신먼저
지인이계좌로
600만원
송금해줄수있어?
급히
넣어줘야될돈인데
핸드폰고장나서
계좌이체
못해주고있어",sns 스팸
222,spam,"삼촌 많이 바쁘신가요?

아네 죄송한데요 삼촌
저뭐하나 부탁드려도 되나요
?

저지금 급히 결제할데가
있어서 그러는데요 인터넷
뱅킹 비밀번호
오류초과되어서 안되고",sns 스팸
223,spam,"오빠 바빠 ?

폰지금고장나서 수리맞기고 컴퓨터로
카톡하는거야

급해서 그러는데 부탁하나만 해도돼 ?

어제 친구한테 받은돈이잇는데 급하게지금
다시송금해달라고하는데",sns 스팸
224,spam,"급히 결제 할거
있어그러는데 엄마 대신
먼저 해주시면 안대 ?

인증스 오류땜에
이체안되는상황이라그래
엄마~

저녘으로 돌려줄게 엄마~

어떻게 안대 엄마?",sns 스팸
225,spam,"[Web 발신]
(광고)
"" 『국민』 는 소중한 당신과
함께
행복을 만드는 금융이
되겠습니다.""

항상 KB를 이용해주셔서
고객님께
감사드립니다.

고객님께서는 이번
신용보증재단에서
보증지원을 통해 신청이
가능한 대출
상품으로 이용전 상품 내용와
접수
기간을 확인하여
신청바랍니다.

［상품내용 ］
-서민와 소상공인을 대상을
특례보증
지원하여 생계에 필요한",sns 스팸
226,spam,"KB국민은행
[Web발신]
(광고)
""언제나 행복을주는 국민의 평생
금융파트너로 [ KB국민은행 ]이 함께 하겠습니다.""

안녕하세요 고객님.
6월 정부와 출연금 재원으로 신용보증을 통해 자금을
지원하는 「특례보증대출」 사전삼사 적격판정
승인대상 이오나 현재 접수가 되지않아 재안내 드립니다.
보증내용 및 서류제출 관련하여 확인하신 후 10영업일
이내에(2021.7.8 까지) 아래 경로에 따라 빠른
신청접수 바랍니다.

[ 보증대충 실행안내 ]
▶취급은행:KB국민은행
▶보증재단:신용보증재단
▶보증내용:보증비율 100%, 보증료 전액
정부보증지원(1년간 무이자)
▶지원자금:창업ㆍ사업운영자금, 생활안정자금,
고금리차환자금(대환)
▶지원기간:2021. 7. 8(목)까지(예산 소진 시 변경
또는 조기 마감)

[ 제출서류 안내]
-본인 신분증(주민등록증, 자동차운전면허증, 국내에서
발행한 여권 등)
-주민등록증(초)본(1개월 이내 발행서류)
-재직(사업) 또는 소득확인 서류 등(단, 미서류 제출 대상
별도 추가 심사후 대출실행)
※ 제출서류 누락시 영업일기준 7일 이내 보완 가능하며,
영업일 경과시 대출 신청 철회됩니다.",sns 스팸
227,spam,"응 나 뭐하나 부탁해도 돼?

지금 편의점가서 구글기프트카드
20만권 4장 사줄수있어?

수수료 벌려고 그래",sns 스팸
228,spam,"아빠~ 지금 구글기프트카드가
좀 필요한데 시간 괜찮으면 대신
먼저 구매해줄수 잇어? 지금
인증서오류땜에 안되네ㅠ

실은 내가 지금 부업으로 외국에
있는 애들 상대로 게임
충전카드를 판매하고 있어 이거
수익이 너무 좋아 내가 대신
구매해주는 건데 100만원 당
20만 가까이 수수료 벌거든",sns 스팸
229,spam,"[질병관리청COOV]코로나 19
전자예방접종증명서 발송
완료 https://ya.mba/3PZ",sns 스팸
230,spam,"[Web발신]
여분백신 화이자 예약안내
코르나 19 백신 접종 예약을
확인하세요
https://url.kr/fn8ocq",sns 스팸
231,spam,"나 ???? 매일 이렇게
집에서 놀고 있어요 ㅋㅋ
저랑 같이 즐길래여!! 연
락주세용 ㅋㅋ
전화번호:010????????",sns 스팸
232,spam,"[Web발신]국민 건강 검진
통지서 입 니 다. 자세 한
내용 을 확인???
Bit.ly/3e2Z??",sns 스팸
233,spam,"엄마 나 ??
폰액정이나가서
임시폰
잠시대리받았는데
문자만가능해
부탁할꺼있는데
문자줘",sns 스팸
234,spam,"천만예요

발송인과 어떤 거래를 하시나요?
당신의 소포에 문제가 있습니다.
세관 직원이 방금 당신의 소포를
스캔했는데, 당신의 소포에 현금이
들어 있는 것을 발견했습니다.

참고로 SECIAL 인증서에는 소포를
통해 송금된 현금이 제공되어야
합니다. 그들은 서류와 함께 온
소포에 대해 검색하려고 했지만 찾을
수 없었다.

나는 당신에게 즉시 증명서를
확보하라고 충고하고 싶다. 이
증명서 확보에 도움을 줄 수 있는
부서가 있지만 수수료는
678만3900원이다,",sns 스팸
